1-0,22,The Terrible Secret of Turtle Bay
1-1,22,Dia de los Dangerous
1-2,22,Careers in Science
1-3,22,Home Insecurity
1-4,22,The Incredible Mr. Brisby
1-5,22,"Eeney, Meeney, Miney... Magic!"
1-6,22,Ghosts of the Sargasso
1-7,22,Ice Station Impossible
1-8,22,Mid-Life Chrysalis
1-9,22,"Are You There God, It's Me, Dean"
1-10,22,Tag-Sale: You're It!
1-11,22,Past Tense
1-12,22,The Trial of the Monarch
1-13,22,Return to Spider-Skull Island
2-1,22,Powerless in the Face of Death 
2-2,22,Hate Floats
2-3,22,Assassinanny 911 
2-4,22,Escape to the House of Mummies Part II 
2-5,22,Twenty Years to Midnight
2-6,22,Victor. Echo. November. 
2-7,22,Love-Bheits 
2-8,22,Fallen Arches
2-9,22,Guess Who's Coming to State Dinner? 
2-10,22,I Know Why the Caged Bird Kills 
2-11,22,¡Viva los muertos! 
2-12,22,Showdown at Cremation Creek: Part 1 
2-13,22,Showdown at Cremation Creek: Part 2 
3-1,24,Shadowman 9: In the Cradle of Destiny
3-2,23,The Doctor Is Sin
3-3,23,The Invisible Hand of Fate 
3-4,23,Home Is Where the Hate Is
3-5,23,The Buddy System 
3-6,23,"Dr. Quymn, Medicine Woman "
3-7,23,What Goes Down Must Come Up 
3-8,23,Tears of a Sea Cow
3-9,23,Now Museum - Now You Don't! 
3-10,21,The Lepidopterists
3-11,23,ORB 
3-12,24,"The Family That Slays Together, Stays Together: Part 1 "
3-13,24,"The Family That Slays Together, Stays Together: Part 2"
4-1,24,"Blood of the Father, Heart of Steel"
4-2,23,Handsome Ransom 
4-3,23,Perchance to Dean 
4-4,23,Return to Malice 
4-5,23,The Revenge Society 
4-6,23,Self-Medication 
4-7,23,The Better Man 
4-8,23,Pinstripes and Poltergeists 
4-9,23,The Diving Bell vs. the Butterglider
4-10,23,Pomp and Circuitry 
4-11,23,Every Which Way But Zeus
4-12,22,Everybody Comes to Hank's 
4-13,23,"Bright Lights, Dean City"
4-14,23,Assisted Suicide 
4-15,23,The Silent Partners 
4-16,44,Operation P.R.O.M. 
5-0,44,A Very Venture Halloween 
5-1,23,What Color Is Your Cleansuit?
5-2,23,Venture Libre
5-3,23,Sphinx Rising
5-4,23,Spanakopita 
5-5,23,O.S.I. Love You 
5-6,23,Momma's Boys 
5-7,23,Bot Seeks Bot
5-8,23,The Devil's Grip 
6-0,44,All This and Gargantua-2 
6-1,22,Hostile Makeover 
6-2,22,Maybe No Go 
6-3,22,Faking Miracles 
6-4,22,Rapacity in Blue
6-5,22,Tanks for Nuthin' 
6-6,22,It Happening One Night
6-7,22,A Party for Tarzan 
6-8,22,Red Means Stop 
7-1,22,The Venture Bros. and the Curse of the Haunted Problem 
7-2,22,The Rorqual Affair 
7-3,23,Arrears in Science 
7-4,22,The High Cost of Loathing
7-5,22,The Inamorata Consequence 
7-6,22,The Bellicose Proxy 
7-7,22,The Unicorn in Captivity
7-8,22,The Terminus Mandate
7-9,22,The Forecast Manufacturer
7-10,22,The Saphrax Protocol 
